size,average
5000,14.68503937007874
10000,16.142857142857142
15000,17.784313725490197
20000,18.266666666666666
25000,18.615686274509805
30000,18.51764705882353
35000,18.72156862745098
40000,19.32156862745098
45000,19.763779527559056
50000,20.031372549019608
55000,19.341176470588234
60000,19.909803921568628
65000,20.38976377952756
70000,19.521568627450982
75000,19.76078431372549
80000,20.49019607843137
85000,20.741176470588236
90000,20.250980392156862
95000,21.03529411764706
100000,21.611764705882354
105000,20.4078431372549
110000,20.901960784313726
115000,21.352941176470587
120000,21.4
125000,20.79607843137255
130000,21.56078431372549
135000,21.431372549019606
140000,21.07843137254902
145000,21.458823529411763
150000,22.24705882352941
155000,21.29019607843137
160000,21.815686274509805
165000,22.04313725490196
170000,21.215686274509803
175000,22.105882352941176
180000,21.91764705882353
185000,22.27843137254902
190000,22.905882352941177
195000,22.45098039215686
200000,22.250980392156862
205000,21.266666666666666
210000,21.941176470588236
215000,22.725490196078432
220000,21.95294117647059
225000,21.70980392156863
230000,21.941176470588236
235000,22.313725490196077
240000,22.41176470588235
245000,22.337254901960783
250000,22.521568627450982
