size,average
5000,14.625984251968504
10000,16.03968253968254
15000,17.623529411764707
20000,18.07843137254902
25000,18.376470588235293
30000,18.223529411764705
35000,18.40392156862745
40000,18.972549019607843
45000,19.35433070866142
50000,19.650980392156864
55000,18.933333333333334
60000,19.337254901960783
65000,19.751968503937007
70000,18.96470588235294
75000,19.184313725490195
80000,19.823529411764707
85000,20.054901960784314
90000,19.529411764705884
95000,20.313725490196077
100000,20.827450980392157
105000,19.650980392156864
110000,19.99607843137255
115000,20.498039215686273
120000,20.564705882352943
125000,19.749019607843138
130000,20.607843137254903
135000,20.431372549019606
140000,20.2078431372549
145000,20.274509803921568
150000,21.20392156862745
155000,20.380392156862744
160000,20.525490196078433
165000,20.690196078431374
170000,20.180392156862744
175000,20.862745098039216
180000,20.650980392156864
185000,20.901960784313726
190000,21.643137254901962
195000,21.04705882352941
200000,20.945098039215686
205000,19.984313725490196
210000,20.545098039215688
215000,21.129411764705882
220000,20.815686274509805
225000,20.376470588235293
230000,20.36470588235294
235000,20.768627450980393
240000,20.705882352941178
245000,20.858823529411765
250000,20.819607843137256
