,Locality,Average Housing Price,Standard Deviation of Housing Price,Mar 2016,Jun 2016,Sep 2016,Dec 2016,Mar 2017,Jun 2017,Sep 2017,Dec 2017
80,WEST BRUNSWICK,348.25,6.036348233824818,340,340,346,350,350,350,350,360
81,GROUP TOTAL,368.75,8.1967981553775,360,360,360,365,370,375,380,380
82,BUNDOORA,366.875,8.267972847076846,360,360,360,360,365,370,380,380
83,ELTHAM,411.25,10.825317547305483,400,400,400,410,410,415,425,430
84,FAIRFIELD,371.25,13.169567191065923,350,360,365,370,370,375,385,395
85,HEIDELBERG,382.5,11.4564392373896,365,370,375,380,385,390,395,400
86,IVANHOE,435.0,12.99038105676658,425,420,420,425,440,450,450,450
87,MILL PARK,349.375,7.261843774138907,340,340,345,350,350,350,360,360
88,NORTHCOTE,456.875,10.879309490955757,450,450,440,450,460,460,470,475
89,PRESTON,389.375,8.076779989575053,380,380,380,390,390,395,400,400
90,RESERVOIR,346.875,6.584783595532961,340,340,340,345,350,350,350,360
91,THOMASTOWN,335.625,7.680128579652817,325,330,330,330,340,340,340,350
92,THORNBURY,373.5,13.35102992281869,360,365,365,363,375,370,390,400
93,WHITTLESEA,350.0,7.0710678118654755,340,340,350,350,350,350,360,360
94,GROUP TOTAL,363.375,9.986709918686934,350,352,360,360,360,370,375,380
95,BAYSWATER,356.25,7.39509972887452,350,350,350,350,355,360,365,370
96,BORONIA,358.75,7.806247497997997,350,350,350,360,360,360,370,370
97,CROYDON,378.75,6.49519052838329,370,370,375,380,380,380,385,390
98,FERNTREE GULLY,378.125,9.333240326917549,370,370,370,370,380,380,390,395
99,RINGWOOD,373.5,8.031189202104505,360,365,370,370,378,380,380,385
100,ROWVILLE,429.5,9.643650760992955,420,420,420,420,435,440,440,441
101,WANTIRNA,410.0,11.180339887498949,400,400,400,400,410,420,420,430
102,YARRA RANGES,360.0,9.682458365518542,350,350,350,355,360,370,370,375
103,GROUP TOTAL,379.375,7.261843774138907,370,370,375,380,380,380,390,390
104,BERWICK,385.0,5.0,380,380,380,380,390,390,390,390
105,CRANBOURNE,370.0,7.5,360,360,365,370,370,375,380,380
106,DANDENONG,326.875,8.992184106211349,315,320,320,320,330,330,340,340
107,DANDENONG NORTH,337.625,7.210019070709869,330,330,330,335,340,340,346,350
108,NARRE WARREN,356.875,6.584783595532961,350,350,350,355,360,360,360,370
109,NOBLE PARK,328.125,7.880950133074057,320,320,320,325,330,330,340,340
110,PAKENHAM,336.875,6.584783595532961,330,330,330,335,340,340,340,350
111,SPRINGVALE,360.0,9.013878188659973,350,350,350,360,360,365,370,375
112,GROUP TOTAL,351.375,6.382348705609871,340,346,350,350,350,355,360,360
113,DROMANA,349.375,11.842059575935261,330,340,340,350,350,355,360,370
114,FRANKSTON,336.25,8.926785535678562,325,330,330,330,335,340,350,350
115,HASTINGS,346.25,9.921567416492215,330,340,340,340,350,350,360,360
116,MT ELIZA,437.5,12.747548783981962,420,425,425,430,450,450,450,450
117,SEAFORD,348.5,6.284902544988268,340,340,345,350,350,350,353,360
118,GROUP TOTAL,353.125,8.992184106211349,340,345,350,350,350,360,360,370
119,BELMONT,343.125,7.473912964438374,330,335,340,340,350,350,350,350
120,CORIO,253.125,4.284784125250653,250,250,250,250,250,255,260,260
121,GEELONG,311.25,5.994789404140899,300,310,310,310,310,310,320,320
122,HERNE HILL,309.75,11.143944544011335,295,300,300,300,320,320,320,323
123,LARA,343.75,8.926785535678562,330,335,340,340,345,350,350,360
124,NEWTOWN,338.5,12.479983974348684,320,320,330,340,350,348,350,350
125,NORTH GEELONG,316.0,7.123903424387503,310,310,310,310,315,320,323,330
126,GROUP TOTAL,313.125,6.584783595532961,300,310,310,310,315,320,320,320
127,BALLARAT,270.625,5.266343608235224,265,265,265,270,270,275,275,280
128,MOUNT CLEAR,312.5,3.5355339059327378,310,320,315,310,310,310,310,315
129,SEBASTOPOL,256.625,4.442338910979215,250,255,253,255,260,255,260,265
130,WENDOUREE,291.25,3.307189138830738,285,290,290,290,290,295,295,295
131,GROUP TOTAL,274.375,4.635124054434789,270,270,270,270,275,280,280,280
132,BENDIGO,274.125,3.9191038516477206,275,270,270,270,273,275,280,280
133,FLORA HILL,277.5,5.0,270,270,275,280,280,280,280,285
134,GOLDEN SQUARE,280.625,2.9973947020704497,280,275,280,280,280,280,285,285
135,NORTH BENDIGO,280.0,0.0,280,280,280,280,280,280,280,280
136,GROUP TOTAL,278.75,2.165063509461097,275,275,280,280,280,280,280,280
137,BAIRNSDALE,278.75,2.165063509461097,275,280,275,280,280,280,280,280
138,BENALLA,236.875,6.584783595532961,230,230,230,235,240,240,240,250
139,CASTLEMAINE,312.5,6.614378277661476,300,310,310,310,320,310,320,320
140,ECHUCA,292.25,8.089344843681719,280,280,290,300,300,300,298,290
141,HAMILTON,230.625,1.653594569415369,230,230,230,230,230,230,230,235
142,HORSHAM,254.375,4.635124054434789,250,250,250,250,255,260,260,260
143,MILDURA,275.375,4.715334028465004,270,270,270,273,280,280,280,280
144,MOE,205.0,4.330127018922194,200,200,200,205,210,205,210,210
