STUDENT ID,DET_Region,METRO/NON-METRO,EDUCATION SECTOR,LOCAL GOVERNMENT AREA,SEX,STUDY STRAND,SES quartile (student residence),Country_of_birth,LOTE SPOKEN AT HOME,DESTINATION ,DESTINATION (including deferrals)
24068,SOUTH-WESTERN VICTORIA,Metropolitan,Government,Hobsons Bay,M,VCE non-VET,Lower-middle,Australia,No,Bachelor degree,Bachelor degree
24069,NORTH-WESTERN VICTORIA,Metropolitan,Government,Hume,M,VCE non-VET,Lower-middle,Australia,No,Bachelor degree,Bachelor degree
24070,SOUTH-WESTERN VICTORIA,Metropolitan,Independent,Wyndham,M,VCE non-VET,Lower-middle,Australia,No,Bachelor degree,Bachelor degree
24071,SOUTH-WESTERN VICTORIA,Non-Metropolitan,Independent,Ballarat,F,VCE non-VET,Lower-middle,Other,Yes,Bachelor degree,Bachelor degree
24072,NORTH-WESTERN VICTORIA,Metropolitan,Catholic,Hume,F,VCE non-VET,Lowest,Vietnam,Yes,Certificates/diplomas,Certificates/diplomas
24073,SOUTH-EASTERN VICTORIA,Metropolitan,Government,Greater Dandenong,M,VCE non-VET,Lowest,China (excl. SARs and Taiwan Province),Yes,Certificates/diplomas,Certificates/diplomas
24074,NORTH-WESTERN VICTORIA,Non-Metropolitan,Independent,Greater Bendigo,M,VCE VET,Lower-middle,Australia,Yes,Bachelor degree,Bachelor degree
24075,SOUTH-WESTERN VICTORIA,Metropolitan,Government,Brimbank,F,VCE non-VET,Lowest,Lebanon,Yes,Bachelor degree,Bachelor degree
24076,NORTH-EASTERN VICTORIA,Metropolitan,Independent,Monash,M,VCE non-VET,Upper-middle,Australia,Yes,Bachelor degree,Bachelor degree
24077,NORTH-EASTERN VICTORIA,Metropolitan,Independent,Boroondara,F,VCE non-VET,Highest,Australia,Yes,Bachelor degree,Bachelor degree
24078,SOUTH-EASTERN VICTORIA,Non-Metropolitan,Independent,Wellington,F,VCE non-VET,Lower-middle,Australia,No,Bachelor degree,Bachelor degree
