STUDENT ID,DET_Region,METRO/NON-METRO,EDUCATION SECTOR,LOCAL GOVERNMENT AREA,SEX,STUDY STRAND,SES quartile (student residence),Country_of_birth,LOTE SPOKEN AT HOME,DESTINATION ,DESTINATION (including deferrals)
1,SOUTH-EASTERN VICTORIA,Metropolitan,Government,Frankston,F,VCE non-VET,Lower-middle, , ,Employed,Deferred
2,NORTH-EASTERN VICTORIA,Non-Metropolitan,Independent,Moira,F,VCE non-VET,Lowest, , ,Apprenticeship/traineeship,Apprenticeship/traineeship
3,NORTH-WESTERN VICTORIA,Metropolitan,Government,Banyule,M,VCE non-VET,Lower-middle, , ,NILFET,Deferred
4,SOUTH-WESTERN VICTORIA,Metropolitan,Government,Wyndham,F,VCE VET,Lowest, , ,Certificates/diplomas,Certificates/diplomas
5,SOUTH-WESTERN VICTORIA,Non-Metropolitan,Independent,Greater Geelong,F,VCE non-VET,Highest, , ,Employed,Deferred
6,SOUTH-WESTERN VICTORIA,Non-Metropolitan,Independent,Greater Geelong,M,VCE non-VET,Highest, , ,Employed,Deferred
7,SOUTH-EASTERN VICTORIA,Metropolitan,Catholic,Greater Dandenong,M,VCE non-VET,Lower-middle, , ,Employed,Deferred
8,NORTH-EASTERN VICTORIA,Metropolitan,Independent,Maroondah,M,VCE non-VET,Upper-middle, , ,Employed,Deferred
9,SOUTH-EASTERN VICTORIA,Metropolitan,Government,Frankston,F,VCE non-VET,Upper-middle, , ,Employed,Deferred
10,NORTH-EASTERN VICTORIA,Metropolitan,Government,Monash,F,VCE non-VET,Highest, , ,Bachelor degree,Bachelor degree
11,NORTH-EASTERN VICTORIA,Metropolitan,Catholic,Yarra Ranges,F,VCE non-VET,Upper-middle, , ,NILFET,Deferred
12,NORTH-WESTERN VICTORIA,Non-Metropolitan,Independent,Macedon Ranges,F,VCE non-VET,Highest, , ,Unknown,Deferred
13,NORTH-WESTERN VICTORIA,Metropolitan,Catholic,Nillumbik,F,VCE non-VET,Highest, , ,NILFET,Deferred
14,NORTH-EASTERN VICTORIA,Metropolitan,Independent,Boroondara,F,VCE non-VET,Highest, , ,NILFET,Deferred
15,NORTH-WESTERN VICTORIA,Metropolitan,Government,Whittlesea,M,VCE VET,Upper-middle, , ,Employed,Deferred
16,SOUTH-EASTERN VICTORIA,Non-Metropolitan,Government,Latrobe,F,VCE non-VET,Upper-middle, , ,Employed,Deferred
17,SOUTH-WESTERN VICTORIA,Non-Metropolitan,Catholic,Southern Grampians,M,VCE VET,Lowest, , ,Employed,Deferred
18,NORTH-WESTERN VICTORIA,Non-Metropolitan,Government,Greater Bendigo,M,VCE non-VET,Lower-middle, , ,Employed,Deferred
19,SOUTH-WESTERN VICTORIA,Non-Metropolitan,Independent,Greater Geelong,F,VCE non-VET,Highest, , ,Employed,Deferred
20,SOUTH-WESTERN VICTORIA,Non-Metropolitan,Independent,Ballarat,M,VCE non-VET,Lower-middle, , ,Employed,Deferred
21,NORTH-WESTERN VICTORIA,Metropolitan,Government,Yarra,M,VCE non-VET,Lower-middle, , ,Employed,Deferred
22,NORTH-WESTERN VICTORIA,Non-Metropolitan,Government,Greater Bendigo,F,VCE non-VET,Lower-middle, , ,Employed,Deferred
23,SOUTH-EASTERN VICTORIA,Non-Metropolitan,Independent,Wellington,F,VCE non-VET,Lower-middle, , ,Employed,Deferred
24,SOUTH-EASTERN VICTORIA,Metropolitan,Catholic,Stonnington,F,VCE non-VET,Highest, , ,Employed,Deferred
25,NORTH-WESTERN VICTORIA,Metropolitan,Independent,Whittlesea,F,VCE non-VET,Upper-middle, , ,Employed,Deferred
26,NORTH-EASTERN VICTORIA,Non-Metropolitan,Catholic,Moira,F,VCE non-VET,Lowest, , ,Employed,Deferred
27,NORTH-EASTERN VICTORIA,Non-Metropolitan,Government,Greater Shepparton,F,VCE VET,Highest, , ,Employed,Deferred
28,NORTH-EASTERN VICTORIA,Non-Metropolitan,Catholic,Mitchell,F,VCE non-VET,Upper-middle, , ,Employed,Deferred
29,SOUTH-WESTERN VICTORIA,Non-Metropolitan,Catholic,Ballarat,M,VCE non-VET,Lower-middle, , ,Employed,Deferred
30,SOUTH-WESTERN VICTORIA,Non-Metropolitan,Government,Greater Geelong,F,VCE VET,Highest, , ,Employed,Deferred
31,SOUTH-EASTERN VICTORIA,Metropolitan,Catholic,Kingston,M,VCE non-VET,Highest, , ,Certificates/diplomas,Certificates/diplomas
32,SOUTH-EASTERN VICTORIA,Metropolitan,Independent,Mornington Peninsula,M,VCE non-VET,Upper-middle, , ,Employed,Deferred
33,SOUTH-WESTERN VICTORIA,Non-Metropolitan,Catholic,Greater Geelong,M,VCE non-VET,Highest, , ,Employed,Deferred
34,SOUTH-EASTERN VICTORIA,Metropolitan,Independent,Bayside,F,VCE non-VET,Highest, , ,Employed,Deferred
35,NORTH-EASTERN VICTORIA,Non-Metropolitan,Government,Towong,F,VCE non-VET,Lowest, , ,Employed,Deferred
36,SOUTH-EASTERN VICTORIA,Non-Metropolitan,Catholic,South Gippsland,F,VCE non-VET,Lower-middle, , ,Employed,Deferred
37,NORTH-EASTERN VICTORIA,Non-Metropolitan,Catholic,Benalla,F,VCE non-VET,Lowest, , ,Employed,Deferred
38,SOUTH-EASTERN VICTORIA,Metropolitan,Independent,Casey,F,VCE VET,Upper-middle, , ,Employed,Deferred
39,NORTH-WESTERN VICTORIA,Metropolitan,Independent,Nillumbik,F,VCE VET,Highest, , ,Employed,Deferred
40,NORTH-EASTERN VICTORIA,Metropolitan,Independent,Maroondah,F,VCE non-VET,Highest, , ,Employed,Deferred
41,NORTH-WESTERN VICTORIA,Metropolitan,Government,Nillumbik,M,VCE non-VET,Highest, , ,Employed,Deferred
42,NORTH-EASTERN VICTORIA,Metropolitan,Independent,Boroondara,F,IB,Highest, , ,Employed,Deferred
43,NORTH-EASTERN VICTORIA,Metropolitan,Catholic,Yarra Ranges,F,VCE non-VET,Lower-middle, , ,Apprenticeship/traineeship,Apprenticeship/traineeship
44,SOUTH-EASTERN VICTORIA,Metropolitan,Government,Port Phillip,F,VCE non-VET,Upper-middle, , ,Employed,Deferred
45,SOUTH-WESTERN VICTORIA,Non-Metropolitan,Independent,Greater Geelong,F,VCE non-VET,Upper-middle, , ,Employed,Deferred
46,SOUTH-EASTERN VICTORIA,Metropolitan,Government,Port Phillip,F,VCE non-VET,Highest, , ,Employed,Deferred
47,SOUTH-WESTERN VICTORIA,Metropolitan,Independent,Melbourne,M,VCE non-VET,Highest, , ,Employed,Deferred
48,NORTH-EASTERN VICTORIA,Metropolitan,Independent,Boroondara,F,VCE non-VET,Highest, , ,Employed,Deferred
49,SOUTH-EASTERN VICTORIA,Metropolitan,Independent,Glen Eira,F,VCE non-VET,Highest, , ,Apprenticeship/traineeship,Apprenticeship/traineeship
50,SOUTH-WESTERN VICTORIA,Non-Metropolitan,Independent,Greater Geelong,M,VCE non-VET,Highest, , ,Employed,Deferred
51,SOUTH-WESTERN VICTORIA,Non-Metropolitan,Independent,Greater Geelong,M,VCE non-VET,Highest, , ,Employed,Deferred
52,SOUTH-WESTERN VICTORIA,Non-Metropolitan,Independent,Greater Geelong,M,VCE non-VET,Lower-middle, , ,Employed,Deferred
53,SOUTH-WESTERN VICTORIA,Non-Metropolitan,Independent,Greater Geelong,M,VCE non-VET,Upper-middle, , ,Employed,Deferred
54,SOUTH-EASTERN VICTORIA,Metropolitan,Independent,Stonnington,F,VCE VET,Highest, , ,Employed,Deferred
55,SOUTH-EASTERN VICTORIA,Metropolitan,Government,Port Phillip,F,VCE non-VET,Highest, , ,Employed,Deferred
56,SOUTH-WESTERN VICTORIA,Metropolitan,Independent,Melbourne,M,VCE non-VET,Highest, , ,Employed,Deferred
57,SOUTH-EASTERN VICTORIA,Non-Metropolitan,Government,East Gippsland,F,VCE non-VET,Lowest, , ,Apprenticeship/traineeship,Apprenticeship/traineeship
58,SOUTH-WESTERN VICTORIA,Non-Metropolitan,Independent,Ballarat,F,VCE non-VET,Upper-middle, , ,Employed,Deferred
59,SOUTH-EASTERN VICTORIA,Non-Metropolitan,Independent,Wellington,F,VCE non-VET,Lower-middle, , ,Employed,Deferred
60,NORTH-WESTERN VICTORIA,Metropolitan,Government,Nillumbik,F,VCE non-VET,Highest, , ,Employed,Deferred
61,SOUTH-EASTERN VICTORIA,Metropolitan,Government,Bayside,F,VCE VET,Highest, , ,Employed,Deferred
62,NORTH-WESTERN VICTORIA,Metropolitan,Government,Banyule,M,VCE non-VET,Upper-middle, , ,Employed,Deferred
63,SOUTH-WESTERN VICTORIA,Non-Metropolitan,Government,Horsham,F,VCE non-VET,Lower-middle, , ,Employed,Deferred
64,NORTH-WESTERN VICTORIA,Metropolitan,Catholic,Banyule,M,VCE non-VET,Upper-middle, , ,Employed,Deferred
65,NORTH-EASTERN VICTORIA,Metropolitan,Catholic,Monash,F,VCE non-VET,Upper-middle, , ,Employed,Deferred
66,SOUTH-WESTERN VICTORIA,Non-Metropolitan,Independent,Greater Geelong,F,VCE non-VET,Upper-middle, , ,Employed,Deferred
67,NORTH-WESTERN VICTORIA,Metropolitan,Independent,Hume,F,VCE non-VET,Highest, , ,Employed,Deferred
68,SOUTH-WESTERN VICTORIA,Metropolitan,Government,Melton,F,VCE non-VET,Lowest, , ,Employed,Deferred
69,SOUTH-WESTERN VICTORIA,Non-Metropolitan,Government,Corangamite,F,VCE VET,Lower-middle, , ,Employed,Deferred
70,NORTH-WESTERN VICTORIA,Metropolitan,Independent,Banyule,F,VCE VET,Highest, , ,Employed,Deferred
71,NORTH-EASTERN VICTORIA,Metropolitan,Government,Manningham,F,VCE non-VET,Highest, , ,Employed,Deferred
72,NORTH-EASTERN VICTORIA,Non-Metropolitan,Government,Mansfield,F,VCE VET,Lower-middle, , ,Employed,Deferred
73,SOUTH-WESTERN VICTORIA,Metropolitan,Government,Hobsons Bay,F,VCE VET,Upper-middle, , ,Employed,Deferred
74,SOUTH-EASTERN VICTORIA,Metropolitan,Government,Cardinia,F,VCE VET,Lower-middle, , ,Employed,Deferred
75,NORTH-EASTERN VICTORIA,Non-Metropolitan,Government,Mansfield,M,VCE VET,Lower-middle, , ,Employed,Deferred
76,NORTH-WESTERN VICTORIA,Metropolitan,Government,Yarra,F,VCE non-VET,Highest, , ,Employed,Deferred
77,SOUTH-EASTERN VICTORIA,Metropolitan,Government,Mornington Peninsula,F,VCE non-VET,Upper-middle, , ,Employed,Deferred
78,SOUTH-WESTERN VICTORIA,Metropolitan,Adult,Melbourne,F,VCE non-VET,Highest, , ,Employed,Deferred
79,SOUTH-WESTERN VICTORIA,Metropolitan,Government,Hobsons Bay,M,VCE non-VET,Highest, , ,Employed,Deferred
80,SOUTH-EASTERN VICTORIA,Metropolitan,Independent,Casey,M,VCE non-VET,Lower-middle, , ,Employed,Deferred
81,SOUTH-WESTERN VICTORIA,Metropolitan,Independent,Melbourne,M,VCE non-VET,Highest, , ,Employed,Deferred
82,NORTH-EASTERN VICTORIA,Metropolitan,Government,Manningham,M,VCE non-VET,Highest, , ,Employed,Deferred
83,SOUTH-EASTERN VICTORIA,Metropolitan,Government,Port Phillip,F,VCE VET,Highest, , ,Employed,Deferred
84,NORTH-WESTERN VICTORIA,Non-Metropolitan,Government,Campaspe,M,VCE non-VET,Lower-middle, , ,Employed,Deferred
85,SOUTH-WESTERN VICTORIA,Non-Metropolitan,Independent,Ballarat,M,VCE non-VET,Lowest, , ,Employed,Deferred
86,NORTH-WESTERN VICTORIA,Metropolitan,Government,Banyule,M,VCE non-VET,Highest, , ,Employed,Deferred
87,SOUTH-WESTERN VICTORIA,Non-Metropolitan,Independent,Ballarat,M,VCE non-VET,Lower-middle, , ,Employed,Deferred
88,SOUTH-WESTERN VICTORIA,Non-Metropolitan,Government,Moyne,F,VCE non-VET,Lowest, , ,Employed,Deferred
89,SOUTH-WESTERN VICTORIA,Non-Metropolitan,Government,Corangamite,F,VCE non-VET,Lowest, , ,Employed,Deferred
90,SOUTH-EASTERN VICTORIA,Non-Metropolitan,Catholic,Wellington,F,VCE non-VET,Lowest, , ,Employed,Deferred
91,SOUTH-WESTERN VICTORIA,Non-Metropolitan,Independent,Greater Geelong,F,VCE non-VET,Upper-middle, , ,Employed,Deferred
92,NORTH-EASTERN VICTORIA,Metropolitan,Government,Manningham,F,VCE non-VET,Highest, , ,Employed,Deferred
93,NORTH-EASTERN VICTORIA,Metropolitan,Catholic,Yarra Ranges,F,VCE non-VET,Upper-middle, , ,Employed,Deferred
94,NORTH-EASTERN VICTORIA,Non-Metropolitan,Government,Strathbogie,M,VCE non-VET,Lowest, , ,Employed,Deferred
95,NORTH-EASTERN VICTORIA,Metropolitan,Catholic,Yarra Ranges,F,VCE non-VET,Lower-middle, , ,Employed,Deferred
96,SOUTH-WESTERN VICTORIA,Non-Metropolitan,Independent,Greater Geelong,F,VCE non-VET,Highest, , ,Employed,Deferred
97,NORTH-WESTERN VICTORIA,Non-Metropolitan,Government,Campaspe,F,VCE VET,Lower-middle, , ,Employed,Deferred
98,NORTH-EASTERN VICTORIA,Metropolitan,Independent,Yarra Ranges,F,VCE VET,Highest, , ,Employed,Deferred
99,SOUTH-EASTERN VICTORIA,Metropolitan,Independent,Casey,F,VCE non-VET,Lower-middle, , ,Employed,Deferred
100,NORTH-WESTERN VICTORIA,Non-Metropolitan,Government,Swan Hill,M,VCE non-VET,Lower-middle, , ,Employed,Deferred
101,NORTH-WESTERN VICTORIA,Non-Metropolitan,Government,Mildura,M,VCE non-VET,Lowest, , ,Employed,Deferred
102,SOUTH-WESTERN VICTORIA,Non-Metropolitan,Government,Greater Geelong,F,VCAL only,Highest, , ,Employed,Deferred
103,SOUTH-EASTERN VICTORIA,Metropolitan,Independent,Glen Eira,M,VCE VET,Highest, , ,Employed,Deferred
104,NORTH-EASTERN VICTORIA,Metropolitan,Catholic,Boroondara,F,VCE VET,Highest, , ,Employed,Deferred
105,SOUTH-WESTERN VICTORIA,Non-Metropolitan,Government,Glenelg,F,VCE non-VET,Lowest, , ,Employed,Deferred
106,NORTH-EASTERN VICTORIA,Metropolitan,Catholic,Manningham,M,VCE non-VET,Upper-middle, , ,Employed,Deferred
107,SOUTH-EASTERN VICTORIA,Non-Metropolitan,Independent,Baw Baw,F,VCE VET,Upper-middle, , ,Employed,Deferred
108,NORTH-WESTERN VICTORIA,Non-Metropolitan,Government,Mildura,F,VCE non-VET,Lowest, , ,Employed,Deferred
109,SOUTH-WESTERN VICTORIA,Metropolitan,Government,Hobsons Bay,F,VCE VET,Lower-middle, , ,Employed,Deferred
110,NORTH-WESTERN VICTORIA,Metropolitan,Catholic,Hume,F,VCE non-VET,Lowest, , ,Bachelor degree,Bachelor degree
111,SOUTH-EASTERN VICTORIA,Metropolitan,Government,Casey,M,VCE non-VET,Upper-middle, , ,Employed,Deferred
112,NORTH-EASTERN VICTORIA,Metropolitan,Independent,Boroondara,F,VCE non-VET,Highest, , ,Certificates/diplomas,Certificates/diplomas
113,SOUTH-WESTERN VICTORIA,Non-Metropolitan,Independent,Southern Grampians,F,VCE VET,Upper-middle, , ,NILFET,Deferred
114,NORTH-EASTERN VICTORIA,Metropolitan,Government,Manningham,M,VCE non-VET,Highest, , ,NILFET,Deferred
115,SOUTH-EASTERN VICTORIA,Metropolitan,Independent,Glen Eira,M,VCE non-VET,Highest, , ,Certificates/diplomas,Certificates/diplomas
116,SOUTH-WESTERN VICTORIA,Non-Metropolitan,Independent,Greater Geelong,F,VCE non-VET,Lower-middle, , ,NILFET,Deferred
117,NORTH-WESTERN VICTORIA,Metropolitan,Catholic,Hume,F,VCE non-VET,Lower-middle, , ,Employed,Deferred
118,NORTH-EASTERN VICTORIA,Metropolitan,Government,Manningham,F,VCE non-VET,Highest, , ,Looking for work,Deferred
119,NORTH-WESTERN VICTORIA,Non-Metropolitan,Government,Mildura,F,VCE non-VET,Lowest, , ,NILFET,Deferred
120,SOUTH-EASTERN VICTORIA,Metropolitan,Government,Frankston,F,VCE VET,Lower-middle, , ,NILFET,Deferred
121,SOUTH-EASTERN VICTORIA,Non-Metropolitan,Government,Bass Coast,F,VCE VET,Upper-middle, , ,Looking for work,Deferred
122,SOUTH-EASTERN VICTORIA,Metropolitan,Independent,Glen Eira,F,VCE VET,Highest, , ,NILFET,Deferred
123,NORTH-EASTERN VICTORIA,Metropolitan,Government,Manningham,M,VCE non-VET,Upper-middle, , ,NILFET,Deferred
124,NORTH-EASTERN VICTORIA,Metropolitan,Independent,Maroondah,M,VCE non-VET,Highest, , ,NILFET,Deferred
125,NORTH-EASTERN VICTORIA,Metropolitan,Catholic,Yarra Ranges,F,VCE non-VET,Upper-middle, , ,NILFET,Deferred
126,SOUTH-EASTERN VICTORIA,Metropolitan,Independent,Glen Eira,F,VCE non-VET,Highest, , ,Certificates/diplomas,Certificates/diplomas
127,SOUTH-EASTERN VICTORIA,Metropolitan,Independent,Glen Eira,F,VCE VET,Highest, , ,Certificates/diplomas,Certificates/diplomas
128,SOUTH-EASTERN VICTORIA,Metropolitan,Independent,Glen Eira,F,VCE VET,Highest, , ,Certificates/diplomas,Certificates/diplomas
129,SOUTH-WESTERN VICTORIA,Non-Metropolitan,Government,Horsham,M,VCE non-VET,Lower-middle, , ,NILFET,Deferred
130,SOUTH-EASTERN VICTORIA,Metropolitan,Independent,Glen Eira,M,VCE non-VET,Highest, , ,NILFET,Deferred
131,SOUTH-EASTERN VICTORIA,Metropolitan,Government,Stonnington,M,VCE non-VET,Highest, , ,Unknown,Deferred
132,SOUTH-EASTERN VICTORIA,Non-Metropolitan,Government,East Gippsland,F,VCE non-VET,Lowest, , ,Looking for work,Deferred
133,NORTH-WESTERN VICTORIA,Metropolitan,Government,Banyule,F,VCE VET,Highest, , ,NILFET,Deferred
134,SOUTH-EASTERN VICTORIA,Non-Metropolitan,Independent,Wellington,F,VCE non-VET,Lower-middle, , ,Bachelor degree,Bachelor degree
135,SOUTH-EASTERN VICTORIA,Metropolitan,Catholic,Kingston,M,VCE VET,Upper-middle, , ,Employed,Deferred
136,NORTH-EASTERN VICTORIA,Metropolitan,Independent,Maroondah,F,IB,Highest, , ,Unknown,Deferred
137,SOUTH-EASTERN VICTORIA,Metropolitan,Government,Mornington Peninsula,F,VCE VET,Highest, , ,Looking for work,Deferred
138,NORTH-WESTERN VICTORIA,Metropolitan,Government,Banyule,M,VCE non-VET,Highest, , ,Looking for work,Deferred
139,SOUTH-EASTERN VICTORIA,Metropolitan,Independent,Glen Eira,M,VCE VET,Highest, , ,Certificates/diplomas,Certificates/diplomas
140,SOUTH-EASTERN VICTORIA,Metropolitan,Independent,Bayside,F,VCE non-VET,Highest, , ,Bachelor degree,Bachelor degree
141,SOUTH-EASTERN VICTORIA,Metropolitan,Government,Port Phillip,F,VCE non-VET,Highest, , ,NILFET,Deferred
142,NORTH-EASTERN VICTORIA,Metropolitan,Catholic,Boroondara,M,VCE VET,Highest, , ,Looking for work,Deferred
143,NORTH-EASTERN VICTORIA,Non-Metropolitan,Catholic,Wodonga,M,VCE non-VET,Lowest, , ,NILFET,Deferred
144,NORTH-WESTERN VICTORIA,Non-Metropolitan,Government,Greater Bendigo,M,VCE non-VET,Lower-middle, , ,NILFET,Deferred
145,NORTH-WESTERN VICTORIA,Metropolitan,Government,Moreland,F,VCE non-VET,Lower-middle, , ,NILFET,Deferred
146,SOUTH-EASTERN VICTORIA,Non-Metropolitan,Independent,Wellington,F,VCE non-VET,Lower-middle, , ,NILFET,Deferred
147,NORTH-WESTERN VICTORIA,Non-Metropolitan,Government,Greater Bendigo,F,VCE non-VET,Highest, , ,NILFET,Deferred
148,NORTH-WESTERN VICTORIA,Non-Metropolitan,Government,Mildura,F,VCE VET,Lowest, , ,Looking for work,Deferred
149,NORTH-EASTERN VICTORIA,Non-Metropolitan,Government,Towong,F,VCE VET,Lowest, , ,NILFET,Deferred
150,SOUTH-WESTERN VICTORIA,Non-Metropolitan,Independent,Ballarat,F,VCE non-VET,Lower-middle, , ,Unknown,Deferred
151,NORTH-EASTERN VICTORIA,Non-Metropolitan,Catholic,Wodonga,F,VCE non-VET,Lowest, , ,NILFET,Deferred
152,SOUTH-EASTERN VICTORIA,Non-Metropolitan,Independent,Bass Coast,F,VCE non-VET,Upper-middle, , ,NILFET,Deferred
153,SOUTH-WESTERN VICTORIA,Non-Metropolitan,Government,Greater Geelong,M,VCE non-VET,Upper-middle, , ,NILFET,Deferred
154,SOUTH-EASTERN VICTORIA,Metropolitan,Independent,Glen Eira,F,VCE VET,Highest, , ,Looking for work,Deferred
155,SOUTH-WESTERN VICTORIA,Metropolitan,Government,Wyndham,F,VCE non-VET,Lower-middle, , ,Bachelor degree,Bachelor degree
156,SOUTH-WESTERN VICTORIA,Non-Metropolitan,Independent,Greater Geelong,F,VCE non-VET,Upper-middle, , ,Employed,Deferred
157,NORTH-EASTERN VICTORIA,Metropolitan,Independent,Boroondara,F,VCE non-VET,Highest, , ,NILFET,Deferred
158,SOUTH-WESTERN VICTORIA,Metropolitan,Independent,Melbourne,F,IB,Highest, , ,NILFET,Deferred
159,NORTH-EASTERN VICTORIA,Metropolitan,Government,Yarra Ranges,M,VCE non-VET,Highest, , ,NILFET,Deferred
160,NORTH-EASTERN VICTORIA,Metropolitan,Independent,Whitehorse,M,VCE non-VET,Highest, , ,NILFET,Deferred
161,NORTH-EASTERN VICTORIA,Metropolitan,Independent,Knox,F,VCE non-VET,Highest, , ,NILFET,Deferred
162,SOUTH-WESTERN VICTORIA,Non-Metropolitan,Government,Greater Geelong,M,VCE VET,Highest, , ,NILFET,Deferred
163,SOUTH-EASTERN VICTORIA,Non-Metropolitan,Government,Baw Baw,M,VCE non-VET,Upper-middle, , ,NILFET,Deferred
164,SOUTH-EASTERN VICTORIA,Metropolitan,Catholic,Stonnington,M,VCE non-VET,Highest, , ,NILFET,Deferred
165,NORTH-EASTERN VICTORIA,Metropolitan,Government,Boroondara,M,VCE non-VET,Highest, , ,Bachelor degree,Bachelor degree
166,NORTH-EASTERN VICTORIA,Metropolitan,Independent,Boroondara,F,VCE non-VET,Highest, , ,NILFET,Deferred
167,NORTH-WESTERN VICTORIA,Non-Metropolitan,Government,Mount Alexander,M,VCE VET,Lowest, , ,Looking for work,Deferred
168,SOUTH-WESTERN VICTORIA,Metropolitan,Catholic,Wyndham,F,VCE non-VET,Upper-middle, , ,Certificates/diplomas,Certificates/diplomas
169,SOUTH-EASTERN VICTORIA,Metropolitan,Independent,Greater Dandenong,F,VCE non-VET,Highest, , ,NILFET,Deferred
170,SOUTH-WESTERN VICTORIA,Metropolitan,Government,Moonee Valley,F,VCE non-VET,Lowest,Australia,Yes,Employed,Deferred
171,NORTH-WESTERN VICTORIA,Metropolitan,Government,Darebin,M,VCE non-VET,Lower-middle,Afghanistan,Yes,Employed,Deferred
172,SOUTH-EASTERN VICTORIA,Metropolitan,Independent,Bayside,M,VCE non-VET,Highest,Australia,Yes,Employed,Deferred
173,SOUTH-WESTERN VICTORIA,Metropolitan,Government,Hobsons Bay,M,VCE VET,Lower-middle,Australia,No,Apprenticeship/traineeship,Apprenticeship/traineeship
174,NORTH-EASTERN VICTORIA,Non-Metropolitan,Government,Moira,M,VCE VET,Lower-middle,Australia,No,Apprenticeship/traineeship,Apprenticeship/traineeship
175,NORTH-WESTERN VICTORIA,Metropolitan,Government,Yarra,F,VCE non-VET,Highest,Australia,No,Employed,Deferred
176,NORTH-WESTERN VICTORIA,Metropolitan,Catholic,Whittlesea,F,VCE non-VET,Upper-middle,Australia,No,Employed,Deferred
177,SOUTH-WESTERN VICTORIA,Metropolitan,Catholic,Wyndham,F,VCE VET,Lower-middle,Australia,Yes,Employed,Deferred
178,NORTH-WESTERN VICTORIA,Metropolitan,Government,Banyule,F,VCE VET,Highest,Australia,No,Certificates/diplomas,Certificates/diplomas
179,SOUTH-EASTERN VICTORIA,Metropolitan,Catholic,Mornington Peninsula,F,VCE non-VET,Upper-middle,Australia,No,Employed,Deferred
180,NORTH-WESTERN VICTORIA,Metropolitan,Government,Banyule,F,VCE VET,Highest,Australia,No,Employed,Deferred
181,SOUTH-EASTERN VICTORIA,Metropolitan,Catholic,Stonnington,F,VCE non-VET,Upper-middle,Australia,No,Employed,Deferred
182,SOUTH-EASTERN VICTORIA,Metropolitan,Catholic,Greater Dandenong,F,VCE non-VET,Lowest,Australia,No,Employed,Deferred
183,SOUTH-WESTERN VICTORIA,Non-Metropolitan,Independent,Greater Geelong,M,VCE VET,Upper-middle,Australia,No,Employed,Deferred
184,NORTH-EASTERN VICTORIA,Metropolitan,Catholic,Whitehorse,M,VCE non-VET,Upper-middle,Australia,No,Employed,Deferred
185,SOUTH-WESTERN VICTORIA,Non-Metropolitan,Independent,Greater Geelong,M,VCE non-VET,Highest,Australia,No,Employed,Deferred
186,SOUTH-WESTERN VICTORIA,Non-Metropolitan,Independent,Greater Geelong,M,VCE non-VET,Upper-middle,Australia,No,Employed,Deferred
187,SOUTH-EASTERN VICTORIA,Metropolitan,Government,Casey,M,VCAL only,Upper-middle,Australia,Yes,Apprenticeship/traineeship,Apprenticeship/traineeship
188,SOUTH-WESTERN VICTORIA,Metropolitan,Catholic,Hobsons Bay,F,VCE VET,Upper-middle,Australia,No,Employed,Deferred
189,SOUTH-WESTERN VICTORIA,Non-Metropolitan,Catholic,Ararat,M,VCE VET,Lower-middle,Australia,No,Employed,Deferred
190,SOUTH-WESTERN VICTORIA,Metropolitan,Catholic,Melton,F,VCE non-VET,Lowest,Australia,No,Employed,Deferred
191,SOUTH-WESTERN VICTORIA,Non-Metropolitan,Catholic,Greater Geelong,F,VCE non-VET,Highest,Australia,No,Apprenticeship/traineeship,Apprenticeship/traineeship
192,NORTH-WESTERN VICTORIA,Non-Metropolitan,Catholic,Greater Bendigo,F,VCE non-VET,Lower-middle,Australia,No,Employed,Deferred
193,SOUTH-EASTERN VICTORIA,Metropolitan,Independent,Frankston,F,VCE non-VET,Highest,Australia,No,Employed,Deferred
194,NORTH-EASTERN VICTORIA,Metropolitan,Catholic,Knox,M,VCE non-VET,Highest,Australia,No,Employed,Deferred
195,SOUTH-WESTERN VICTORIA,Non-Metropolitan,Catholic,Greater Geelong,F,VCE VET,Highest,Australia,No,Employed,Deferred
196,SOUTH-EASTERN VICTORIA,Non-Metropolitan,Government,Latrobe,M,VCE VET,Lowest,Australia,No,Employed,Deferred
197,SOUTH-WESTERN VICTORIA,Non-Metropolitan,Catholic,Ballarat,F,VCE non-VET,Lower-middle,Australia,No,Employed,Deferred
198,SOUTH-EASTERN VICTORIA,Metropolitan,Government,Kingston,F,VCE non-VET,Lower-middle,Australia,No,Employed,Deferred
199,NORTH-EASTERN VICTORIA,Metropolitan,Catholic,Monash,F,VCE non-VET,Lower-middle,Australia,Yes,Employed,Deferred
200,SOUTH-EASTERN VICTORIA,Metropolitan,Government,Greater Dandenong,M,VCE VET,Lowest,Afghanistan,Yes,Employed,Deferred
201,NORTH-WESTERN VICTORIA,Metropolitan,Government,Darebin,M,VCE VET,Lower-middle,Australia,No,Apprenticeship/traineeship,Apprenticeship/traineeship
202,NORTH-EASTERN VICTORIA,Metropolitan,Independent,Boroondara,F,VCE VET,Highest,Australia,No,NILFET,Deferred
203,SOUTH-EASTERN VICTORIA,Metropolitan,Catholic,Greater Dandenong,F,VCAL only,Lowest,Philippines,No,Looking for work,Deferred
204,SOUTH-WESTERN VICTORIA,Metropolitan,Government,Moonee Valley,F,VCE VET,Lowest,Somalia,No,Looking for work,Deferred
205,SOUTH-WESTERN VICTORIA,Metropolitan,Government,Melton,F,VCE non-VET,Lowest,Australia,No,Looking for work,Deferred
206,SOUTH-WESTERN VICTORIA,Metropolitan,Government,Maribyrnong,M,VCE VET,Lower-middle,Vietnam,Yes,Looking for work,Deferred
