,Name,Services provided,Cost ($) ex GST 
84,BAILLIE HOLDINGS PTY LIMITED,Professional Services,4885
85,BAINBRIDGE ASSOCIATES PTY LTD,Professional Services,71600
86,BALANCE INTERIORS,"Utilities, Infrastructure/Sustainability, Transport and Project Management Services",3264
87,BALLARAT CITY COUNCIL,Education and Community Development Services,1142
88,BANYULE NILLUMBIK LOCAL LEARNING EMPLOYMENT NETWORK,Training Services,69119
89,BAW BAW LATROBE LOCAL LEARNING AND EMPLOYMENT NETWORK INC,Training Services,60070
90,BEACON FOUNDATION,Education and Community Development Services,45455
91,BEATON GROUP PTY LTD,Professional Services,4000
92,BEHAVIOURAL RESOURCES AUSTRALIA PTY LTD,Education Services,12263
93,BELGRAVIA HEALTH & LEISURE GROUP PTY LTD,"Accommodation, Event, Functions and Conference",1364
94,BELL CITY HOTEL MANAGEMENT PTY LIMITED,"Accommodation, Event, Functions and Conference",1163
95,BELLBERRY LIMITED,Professional Services,5250
96,BENALLA SAINTS SPORTS CLUB,"Accommodation, Event, Functions and Conference",600
97,BENALLA SPORTS ENTERTAINMENT CENTRE,"Accommodation, Event, Functions and Conference",300
98,BENDELTA PTY LTD,Professional Services,12938
99,BENDIGO COACHLINES,"Utilities, Infrastructure/Sustainability, Transport and Project Management Services",900
100,BENDIGO PSYCHOLOGY,Education Services,850
101,BENO LOGICS,"Publishing, Printing, Promotions and Communications or Marketing Services",3825
102,BERKSHIRE SERVICES,"Utilities, Infrastructure/Sustainability, Transport and Project Management Services",41172
103,BERNARD GROUP PTY LTD,Professional Services,45100
104,BEST GROUP SIGNAGE AND VISUAL CONCEPTS,"Publishing, Printing, Promotions and Communications or Marketing Services",28396
105,BEST WESTERN ADMIRALTY INN,"Accommodation, Event, Functions and Conference",122
106,BEVERIDGE WILLIAMS AND CO PTY LTD,"Utilities, Infrastructure/Sustainability, Transport and Project Management Services",14920
107,BEVINGTON CONSULTING PTY LTD,Professional Services,317127
108,BEYOND THE BOX,IT Services,946
109,BILL HUNT CONSULTANCY SERVICES,Professional Services,38961
110,BINARY BLUE,Recruitment Services,22700
111,BLACKCOMPASS SOFTWARE,IT Project Management Services,90000
112,BLICK CREATIVE INDUSTRIES PTY LTD,"Publishing, Printing, Promotions and Communications or Marketing Services",11244
113,BLUE GUM JOINERY PTY LTD,"Utilities, Infrastructure/Sustainability, Transport and Project Management Services",429
114,BLUE SHADOW GROUP PTY LTD,"Publishing, Printing, Promotions and Communications or Marketing Services",2138
115,BLUE STAR GROUP VICTORIA PTY LIMITED,"Utilities, Infrastructure/Sustainability, Transport and Project Management Services",396
116,BLUE SYSTEMS PTY LTD T/A BLUE FIRE SYSTEMS,"Utilities, Infrastructure/Sustainability, Transport and Project Management Services",1224
117,BLUEARTH FOUNDATION,Education Services,16800
118,BLUEBOAT PTY LTD,"Publishing, Printing, Promotions and Communications or Marketing Services",20756
119,BOOGIE01 MEDIA PTY LTD,"Publishing, Printing, Promotions and Communications or Marketing Services",147433
120,BOSTON CONSULTING GROUP PTY LTD,Professional Services,575000
121,BRAMPTON COMPUTERS,IT Services,4709
122,BRAND BEAGLE PTY LTD,"Publishing, Printing, Promotions and Communications or Marketing Services",42500
123,BRASH CONSULTING,Professional Services,5950
124,BRB MODULAR PTY LTD T/A FLEETWOOD,"Utilities, Infrastructure/Sustainability, Transport and Project Management Services",1888505
125,BREMER AND CO PTY LTD,Professional Services,37460
126,BRIDGING POLICY AND PRACTICE,Education Services,154625
127,BRIGHT SPARK COMPUTER SOLUTIONS,IT Services,15166
128,BRIGHTSTAR CONSULTING,"Professional Services (Research, Leadership and Professional Development)",4959
129,BRITER COMPUTERS PTY LTD,IT Services,119753
130,BROACHED COMMISSIONS PTY LTD,Professional Services,2037
131,BROADBENT MEDIA SERVICES,"Publishing, Printing, Promotions and Communications or Marketing Services",28725
132,BSOFT TECHNOLOGIES PTY LTD,IT Services,31553
133,BUBUP WILAM FOR EARLY LEARNING,Early Childhood Services,21819
134,BUDGET COMPUTER SERVICES,IT Services,16535
135,BUSLINK SUNRAYSIA PTY LTD,"Utilities, Infrastructure/Sustainability, Transport and Project Management Services",3195
136,BYTEWIZE,IT Services,65978
137,C3 BUSINESS SOLUTIONS PTY LTD,IT Project Management Services,178010
138,CADELL ON THE MURRAY MOTEL RESORT,"Accommodation, Event, Functions and Conference",95
139,CAFE 6 SIX 5 FIFTY 5 FIVE,"Accommodation, Event, Functions and Conference",327
140,CAMPASPE COHUNA LOCAL LEARNING AND EMPLOYMENT NETWORK INC,Training Services,49235
141,CAPIRE CONSULTING GROUP PTY LTD,Education Assessment Services,487213
142,CAREER EDUCATION ASSOCIATION OF VICTORIA,"Professional Services (Research, Leadership and Professional Development)",31109
143,CAS EDUCON PTY LTD,Professional Services,473744
144,CASEY CITY COUNCIL,Education and Community Development Services,650
145,CBRE (V) PTY LIMITED,"Utilities, Infrastructure/Sustainability, Transport and Project Management Services",22500
146,CDA CONSULTING,Professional Services,32760
147,CDS SOLUTIONS PTY LTD,IT Services,42244
148,CEBRIDGE PTY LTD,IT Project Management Services,242488
149,CENTER ON DISABILITY AND COMMUNITY INCLUSION,Professional Services,2158
150,CENTRAL GRAMPIANS LOCAL LEARNING OF EMPLOYMENT NETWORK INC,Training Services,46563
